id,discipline
1418889345558360068,Hockey
1418889247164141570,Hockey
1418888806816751625,Handball
1418888698133848064,Beach Volleyball
1418888693662687232,Rugby
1418888691745918977,Football
1418888529355186190,Football
1418888439299076096,Softball
1418887940751585281,Football
1418887311660666885,Volleyball
1418886954003963904,Handball
1418886808209969166,Hockey
1418886713062133763,Hockey
1418886585605558280,Hockey
1418886174266085377,Water Polo
1418885738817409024,Baseball
1418885415793274887,Hockey
1418884837050523648,Volleyball
1418884216918528001,Hockey
1418883657608073221,Volleyball
1418883001325428745,Mixed Doubles
1418882451796070405,Beach Volleyball
1418882116792750084,Hockey
1418881970382286859,Handball
1418881652495945728,Hockey
1418881594056716294,Football
1418881157387767811,Hockey
1418881142971793409,Football
1418880889417703424,Handball
1418880669019635712,Football
1418880620021833735,Football
1418880539659051012,Football
1418880469681197068,Football
1418880213317046272,Hockey
1418879909741535232,Hockey
1418879902225518592,Hockey
1418879895489368069,Football
1418879555679531012,Football
1418879346169819139,Football
1418879125977247752,Football
1418878420881182725,Water Polo
1418877467691941888,Hockey
1418877319243051010,Football
1418876898642366465,Football
1418876497603956736,Football
1418876431564685315,Hockey
1418876319715102720,Football
1418875534772162563,Football
1418875525276311556,Football
1418875325488975872,Handball
1418874589292150803,Hockey
1418873984939139073,Handball
1418873801945780227,Football
1418873782815666186,Football
1418873657720545289,Hockey
1418873593740550146,Football
1418873591748194305,Hockey
1418873497774927877,Football
1418873307965841408,Volleyball
1418872939613757443,Handball
1418872852221202436,Hockey
1418872717407932416,Football
1418872102564794371,Hockey
1418871997686292485,Hockey
1418871957383176200,Football
1418871740923531276,Football
1418871666126458881,Football
1418870549548208128,Football
1418870444938178571,Water Polo
1418870125155995652,Football
1418869834029408262,Basketball
1418869729419173888,Football
1418869576599801873,Basketball
1418869503790813187,Hockey
1418869120007872519,Basketball
1418868932300115970,Football
1418868866525114371,Football
1418868860233519104,Football
1418868714485653504,Football
1418868383878197256,Football
1418868258023755776,Football
1418868034056462351,Football
1418867943107031040,Football
1418867835598737411,Football
1418867821052895234,Volleyball
1418867818355961856,Hockey
1418867817735237639,Hockey
1418867626101542913,Football
1418867625715650560,Football
1418867560460656640,Volleyball
1418867531683700744,Football
1418867422145228809,Football
1418867401555267584,Volleyball
1418867234399670272,Football
1418867151490924552,Hockey
1418866927691345925,Basketball
1418866927691345925,Hockey
1418866488774168581,Hockey
1418866043578167303,Sabre
1418866042034561024,Hockey
1418865897679343617,Baseball
1418865467817553920,Football
1418865259184627716,Softball
1418865254675648521,Hockey
1418865250632404998,Football
1418864352455757827,Volleyball
1418864308935708677,Football
1418864104899588106,Football
1418863978478927872,Hockey
1418863948909223939,Football
1418863297168756736,Football
1418862703221817348,Football
1418862687732252674,Football
1418862676860674048,Rugby
1418862557973078020,Beach Volleyball
1418862467313283078,Football
1418862178812186630,Hockey
1418861894111223817,Hockey
1418861841690730496,Football
1418861567970582535,Football
1418861444821659660,Football
1418860804959621128,Football
1418860509949005827,Football
1418860330294267904,Football
1418860240209068039,Volleyball
1418860178808639493,Football
1418860140082642954,Volleyball
1418860119564161026,Basketball
1418859889305153536,Football
1418859530654474244,Football
1418890338597490695,Volleyball
1418890256817037319,Basketball
1418890042785689600,Football
1418898528038961158,Handball
1418898510431326221,Hockey
1418898375961890825,Volleyball
1418898220986552321,Football
1418898112056266755,Hockey
1418897896691355656,Hockey
1418897833105707015,Hockey
1418897501978046468,Volleyball
1418897399465095182,Volleyball
1418897316090576896,Hockey
1418897143549636617,Hockey
1418896855124127756,Hockey
1418896709892165643,Football
1418896707136286720,Hockey
1418896241165881344,Football
1418896181254569995,Hockey
1418896066964074506,Hockey
1418895953973682180,Hockey
1418895836726153218,Volleyball
1418895691003441153,Hockey
1418895478805106692,Basketball
1418894849894404096,Hockey
1418894835608653829,Hockey
1418894760350265348,Hockey
1418894591022014479,Hockey
1418894528635973638,Baseball
1418894312700485633,Hockey
1418893864870555655,Hockey
1418893860047138821,Hockey
1418893705478656009,Football
1418893505942884352,Football
1418892922364203008,Football
1418892831628877827,Football
1418892475440275466,Football
1418892465742958594,Football
1418892375343120391,Hockey
1418892248746532873,Football
1418892047847759880,Basketball
1418891174304231433,Handball
1418891021585420288,Hockey
1418891014287237120,Hockey
1418914645625159690,Hockey
1418914622199975944,Hockey
1418914597126479894,Handball
1418914488049360909,Hockey
1418914459058376705,Football
1418914400799498243,Handball
1418914364929712129,Hockey
1418914361125474305,Football
1418914342683254786,Handball
1418914180694937611,Hockey
1418914066509307912,Volleyball
1418914012029456392,Hockey
1418913972355543047,Hockey
1418913967695712256,Hockey
1418913726967730178,Hockey
1418913711801049088,Hockey
1418913623708213255,Football
1418913603349094405,Hockey
1418913547384508423,Hockey
1418913533660737550,Volleyball
1418913449011302401,Hockey
1418913449011302401,Hockey
1418913425313472521,Hockey
1418913397995880451,Basketball
1418913345210572805,Hockey
1418913273534160902,Hockey
1418913219423342592,Hockey
1418913158564126728,Football
1418913149764325377,Volleyball
1418913130067943442,Football
1418913058743898118,Hockey
1418917495227011076,Softball
1418917443792162827,Football
1418917413832200194,Hockey
1418917387793993736,Hockey
1418917337504247808,Hockey
1418917331800051716,Hockey
1418917304759422991,Hockey
1418917298551787531,Hockey
1418917291715145739,Hockey
1418917246773125133,Hockey
1418917195942354950,Hockey
1418917144985673728,Hockey
1418917134923714562,Hockey
1418917102161903616,Basketball
1418917056192290816,Hockey
1418916930946281479,Hockey
1418916810569654272,Hockey
1418916794438410247,Baseball
1418916759462162439,Hockey
1418916759084613639,Hockey
1418916751715225618,Football
1418916749248897024,Hockey
1418916727715475456,Football
1418916722472460288,Hockey
1418916675995508742,Hockey
1418916673969692679,Hockey
1418916671444590593,Hockey
1418916668521156608,Hockey
1418916536157417483,Football
1418916522119110665,Hockey
1418916387897155584,Hockey
1418916270985170945,Football
1418916048049479696,Hockey
1418918869083828227,Football
1418918827824492554,Football
1418918969017176064,Hockey
1418918896657182726,Baseball
1418918894337609729,Beach Volleyball
1418918892681011213,Football
1418918888767635459,Beach Volleyball
1418919450452103174,Hockey
1418919385545285637,Hockey
1418919374371631105,Hockey
1418919098126307332,Hockey
1418919037472477184,Hockey
1418918974767747076,Football
1418920101412315149,Hockey
1418920076414132224,Hockey
1418919992305795080,Hockey
1418919946462040064,Hockey
1418919871774089222,Hockey
1418919858914267136,Hockey
1418919731055108096,Volleyball
1418919728484175877,Hockey
1418919661845032966,Hockey
1418920272736948226,Football
1418920251140542476,Hockey
1418920217497976836,Hockey
1418920194228080649,Hockey
1418920169594753024,Hockey
1418920712996376588,Hockey
1418920685833842688,Hockey
1418920450068000768,Hockey
1418921505845497856,Volleyball
1418921501970022403,Football
1418921411473772547,Hockey
1418921376535228422,Hockey
1418921192417812493,Football
1418921171593187333,Football
1418921096678608902,Baseball
1418921066345422856,Football
1418921026457640961,Football
1418921024977002512,Football
1418920994635452437,Hockey
1418920920958357506,Hockey
1418922095472349185,Hockey
1418922083543773185,Volleyball
1418921928782401552,Softball
1418922731794571269,Football
1418922683027296256,Hockey
1418922667982348289,Water Polo
1418922620183973889,Volleyball
1418922523807395840,Hockey
1418922523601817603,Hockey
1418922412117135360,Hockey
1418922361215016960,Volleyball
1418922203865833474,Hockey
1418922197486379015,Hockey
1418922155715170304,Hockey
1418922106922971144,Hockey
1418923168924794881,Hockey
1418923142207221761,Hockey
1418923054961500160,Hockey
1418923041153851402,Football
1418922990729838593,Football
1418922948723892224,Hockey
1418922932122816518,Hockey
1418922886014906380,Football
1418922812329369600,Hockey
1418922811901448192,Hockey
1418924710503534615,Hockey
1418924619914952706,Hockey
1418924490566811654,Football
1418924420593328139,Football
1418924409461563397,Hockey
1418924407863578637,Hockey
1418924380705509385,Hockey
1418924372111331328,Football
1418924352008036360,Football
1418924268038115328,Football
1418924262614786056,Hockey
1418924239223132160,Football
1418924222617997316,Football
1418924203366047756,Football
1418924112630722560,Football
1418923998424018965,Hockey
1418923997622947841,Hockey
1418923942358749192,Hockey
1418923835022315526,Hockey
1418923823680925704,Hockey
1418923741145337860,Hockey
1418923554503004171,Hockey
1418923545497767936,Basketball
1418923534051590158,Football
1418923285648138247,Softball
1418923278320771075,Road Race
1418923272293568519,Hockey
1418923258959699968,Hockey
1418926146843029510,Volleyball
1418926022423105539,Volleyball
1418926002533720064,Beach Volleyball
1418925958883647490,Volleyball
1418925892110143488,Volleyball
1418926546652389386,Volleyball
1418926515492884484,Volleyball
1418926458198761485,Football
1418926408487903237,Hockey
1418927062648250368,Baseball
1418927045283913729,Handball
1418926987679211520,Volleyball
1418927440437530628,Hockey
1418927404546920448,Softball
1418927399576735753,Football
1418928375557619712,Hockey
1418929047128715267,Hockey
1418929614265724947,Football
1418929611661062147,Football
1418929556187123727,Basketball
1418929489434775554,Hockey
1418929282273980416,Softball
1418929268982222853,Hockey
1418929228477779968,Hockey
1418929149205438468,Hockey
1418929110806523904,Hockey
1418930020526039042,Basketball
1418929850220523527,Hockey
1418929687758266371,Hockey
1418929633937039371,Basketball
1418929633937039371,Volleyball
1418931798743175176,Baseball
1418931479736881153,Hockey
1418931069215289347,Volleyball
1418930990467194896,Hockey
1418932378479865865,Volleyball
1418932276449193985,Softball
1418933127100215312,Volleyball
1418933109211402247,Handball
1418933016135704578,Handball
1418932823315173376,Handball
1418933580953235466,Beach Volleyball
1418933419011153922,Handball
1418933399687999489,Football
1418933384433348618,Team
1418934194210758657,Hockey
1418934164682911754,Hockey
1418936607978164236,Volleyball
1418934596494839823,Handball
1418934391846457357,Volleyball
1418937296318042112,Volleyball
1418935577022537734,Handball
1418935550204067852,Volleyball
1418935431891243008,Volleyball
1418935232024166413,Volleyball
1418936033434116097,Handball
1418936003868467209,Volleyball
1418936488365109249,Beach Volleyball
1418936473118777356,Softball
1418937317339844609,Beach Volleyball
1418937235542626311,Beach Volleyball
1418937235206967309,Handball
1418937525436047372,Volleyball
1418938695927881742,Volleyball
1418938472140791816,Volleyball
1418939085717135369,Volleyball
1418939027328311298,Volleyball
1418939726682378240,Volleyball
1418939685854924801,Handball
1418939969268224001,Hockey
1418940951314288642,Volleyball
1418941709019271168,Volleyball
1418941696134553600,Football
1418942089593860104,Hockey
1418943533009063943,Water Polo
1418943468731252736,Baseball
1418943873263493132,Hockey
1418943855672635402,Hockey
1418945383334567949,Hockey
1418946153459208202,Hockey
1418945987935092752,Volleyball
