edition_id,athlete_id
5,64710
5,64756
5,64808
5,922519
5,64735
5,79576
5,64619
5,64594
5,64719
5,64788
5,45153
5,11237
5,11239
5,11240
5,11241
5,11242
5,11243
5,11244
5,11245
5,11246
5,11247
5,11248
5,11249
5,11250
5,11251
5,11238
5,1202174
5,1202175
5,1202176
5,1202177
5,1202178
5,1202179
5,1202180
5,1202181
5,1202182
5,1202183
5,1202184
5,1202185
5,1202186
5,1202187
5,1202188
5,1202189
5,41161
5,45155
5,45296
5,45179
5,45289
6,64805
6,922642
6,64787
6,64701
6,64755
6,64774
6,35483
6,35512
6,35414
6,35544
6,35491
6,35437
6,11249
6,35510
6,35412
6,35541
6,45217
6,45240
6,45212
6,45158
6,45296
6,45175
6,45283
6,45034
6,45146
6,80451
2,29463
2,65439
2,65437
2,65441
2,76627
2,14755
2,890920
2,890906
2,694
2,119
2,89
5,31149
5,76615
5,922525
5,65438
5,922473
5,65444
5,65445
5,21327
5,23509
5,21330
5,23505
5,21333
5,21329
5,118263
5,21331
5,695
5,119995
5,2664
5,698
5,79929
5,79849
5,79850
5,1805059
5,60189
5,57361
5,57360
6,920179
6,76615
6,65446
6,65433
6,65435
6,922653
6,65436
6,65440
6,65443
6,65434
6,65442
6,922654
6,76627
6,65445
6,16233
6,16853
6,15172
6,17097
6,15180
6,23509
6,21326
6,21331
6,21328
6,23488
6,23510
6,23496
6,2303676
6,23505
6,21325
6,21323
6,21327
6,21333
6,21324
6,23507
6,35795
6,922031
6,922032
6,922030
6,2664
6,700
6,119996
6,2652
6,701
6,695
6,697
6,2649
6,696
6,1805027
6,1805012
6,1805047
6,1805024
6,60179
6,60178
6,60189
6,60201
22,44994
22,44995
22,64471
22,64472
22,5020
22,5019
22,21111
22,34033
23,64474
23,64472
23,14165
23,17021
23,102476
24,64473
24,14165
24,55126
25,83241
25,83240
25,91878
25,93253
25,93254
26,105469
26,93253
26,93254
26,55126
53,112683
53,115790
54,123317
54,123468
54,123200
54,120212
59,123317
59,124743
59,128937
59,132447
59,132448
59,128938
59,128939
61,111734
61,132448
61,128938
21,65049
22,65051
22,65047
22,65052
22,65053
22,45427
22,45430
23,65048
23,65053
23,65050
23,65051
23,41257
23,45429
24,65054
24,65046
24,41258
24,45428
25,83307
25,83308
25,93008
25,93297
25,93296
26,105481
26,104784
26,103855
26,93296
53,114572
53,114752
53,117306
53,115616
53,93296
54,121209
54,121210
54,120184
54,121236
54,124407
59,129123
59,132639
59,129124
59,132640
59,132641
59,124407
59,129125
61,140936
61,140934
61,140937
61,132641
61,140938
61,140935
21,345
21,347
21,350
21,339
21,340
21,338
22,345
22,351
22,349
23,346
23,348
23,351
23,343
23,342
23,341
24,346
24,344
25,346
25,80473
26,102855
26,80473
53,102855
53,111494
54,120672
54,120066
59,129160
59,129161
61,129160
61,141027
61,129161
61,141028
22,64476
22,5021
22,5022
22,55128
22,55129
22,57140
23,5021
23,5022
23,55127
45,95621
45,87937
24,64477
24,64475
24,5021
24,62825
24,63872
24,55127
24,57139
25,80467
25,83228
25,64475
25,57140
26,83228
26,64475
26,104643
53,114555
53,112582
53,115867
53,115979
54,120146
54,120199
54,120495
54,120496
54,702030
59,132449
59,128940
59,132450
59,132451
61,140556
61,140558
61,140557
61,140559
61,140555
61,132451
62,140556
19,64348
19,64357
19,64351
19,64345
19,64354
19,64344
19,64359
19,64353
19,16655
19,13928
21,64346
21,64352
21,64341
21,64349
21,64340
21,64350
21,64329
21,64331
21,64328
21,64335
21,15408
21,16296
21,14812
21,63497
22,64356
22,64350
22,64341
22,64349
22,64355
22,64352
22,64342
22,923746
22,64331
22,64334
22,64328
22,3303
22,3304
22,14278
22,15348
22,62071
23,64347
23,64349
23,64338
23,64333
23,64330
23,16105
23,15493
23,15348
23,61455
23,61438
23,61076
23,61972
23,61030
24,64339
24,64358
24,64343
24,64350
24,64333
24,64337
24,64332
24,64336
24,102439
24,102440
24,102441
24,14528
24,62464
25,64339
25,64333
25,62464
26,105492
26,105523
26,64333
26,103866
26,104115
53,105492
53,105523
53,114955
53,64337
53,115893
54,105492
54,105523
54,120123
54,121144
59,132326
59,105492
59,1006167
59,132327
59,132328
59,132330
59,128871
59,132331
59,128872
61,132326
61,140438
61,140440
61,140439
61,140441
61,128872
21,65637
21,21360
21,34645
21,34646
21,41410
21,41411
21,41413
21,41412
21,45696
21,45697
22,65640
22,65637
22,65635
22,21361
22,21360
22,34643
22,21362
22,901076
22,901077
22,901073
22,901075
23,65640
23,65635
23,65641
23,65638
23,65634
23,65636
23,14681
23,14988
23,13322
23,13323
23,901074
24,65639
24,61121
24,61116
24,61120
24,61122
25,83324
25,83323
25,93320
25,93321
26,106639
26,105614
26,106581
26,108241
26,104896
26,105446
26,104110
26,104762
26,103483
26,104113
53,106639
53,114613
53,105614
53,115335
53,114972
53,115479
53,108241
53,106581
53,114670
53,104896
53,115219
53,105446
53,117324
53,115860
53,104113
54,114613
54,124593
54,114972
54,125164
54,115219
54,124803
54,124804
54,124808
54,124793
54,120149
54,120220
54,120221
59,132965
59,132958
59,132968
59,132957
59,132952
59,132954
59,132959
59,132955
59,132960
59,132969
59,132953
59,132961
59,132962
59,132963
59,132956
59,132964
59,132966
59,129370
59,129371
59,129368
59,129372
59,129375
59,129376
59,124803
59,1006166
59,129369
59,129373
59,124804
59,129374
59,129377
59,132970
59,132971
59,129378
59,132972
61,141295
61,132960
61,141294
61,141296
61,132956
61,132961
61,132964
61,141293
61,141289
61,141288
61,124808
61,141287
61,141290
61,141297
61,141305
61,141300
61,141302
61,141303
61,141308
61,141299
61,141310
61,141311
61,147751
61,141298
61,141306
61,141301
61,141307
61,141309
61,147752
61,141304
61,141291
61,141312
61,141292
18,65351
18,923484
18,1692
18,1691
20,65339
20,65349
20,65342
20,65347
20,65341
20,65350
20,65343
20,65345
20,65336
20,7560
20,7561
20,7565
20,7562
20,7567
20,102398
20,7564
21,7560
21,7563
21,7566
22,65340
22,65346
22,65353
22,65352
22,65354
22,65335
22,33671
23,65344
23,80231
23,65337
23,65334
23,14412
23,14791
24,65338
24,65344
24,65348
24,65340
24,65337
25,65344
25,65337
25,94080
25,94189
26,105491
26,105301
26,103879
