edition_id,city
1,Athina
2,Paris
3,St. Louis
5,London
6,Stockholm
50,Berlin
7,Antwerpen
8,Paris
9,Amsterdam
10,Los Angeles
11,Berlin
51,Helsinki
52,London
12,London
13,Helsinki
14,Melbourne
15,Roma
16,Tokyo
17,Ciudad de México
18,München
19,Montréal
20,Moskva
21,Los Angeles
22,Seoul
23,Barcelona
24,Atlanta
25,Sydney
26,Athina
53,Beijing
54,London
59,Rio de Janeiro
61,Tokyo
63,Paris
64,Los Angeles
372,Brisbane
29,Chamonix
30,Sankt Moritz
31,Lake Placid
32,Garmisch-Partenkirchen
55,Garmisch-Partenkirchen
56,Cortina d'Ampezzo
33,Sankt Moritz
34,Oslo
35,Cortina d'Ampezzo
36,Squaw Valley
37,Innsbruck
38,Grenoble
39,Sapporo
40,Innsbruck
41,Lake Placid
42,Sarajevo
43,Calgary
44,Albertville
45,Lillehammer
46,Nagano
47,Salt Lake City
49,Torino
57,Vancouver
58,Sochi
60,PyeongChang
62,Beijing
72,Milano-Cortina d'Ampezzo
48,Stockholm
4,Athina
