edition_id,edition,year,start_date,end_date,competition_date,edition_url,isHeld
1,1896 Summer Olympics,1896, 6 April,15 April,6 – 13 April,/editions/1,
2,1900 Summer Olympics,1900,,,14 May – 28 October,/editions/2,
3,1904 Summer Olympics,1904,14 May,, 1 July – 26 November,/editions/3,
5,1908 Summer Olympics,1908,13 July,25 July,27 April – 31 October,/editions/5,
6,1912 Summer Olympics,1912, 6 July,15 July, 5 May – 27 July,/editions/6,
50,1916 Summer Olympics,1916,,,—,/editions/50,Not held due to war
7,1920 Summer Olympics,1920,14 August,30 August,23 April – 12 September,/editions/7,
8,1924 Summer Olympics,1924, 5 July,27 July, 4 May – 27 July,/editions/8,
9,1928 Summer Olympics,1928,28 July,12 August,17 May – 12 August,/editions/9,
10,1932 Summer Olympics,1932,30 July,14 August,30 July – 14 August,/editions/10,
11,1936 Summer Olympics,1936, 1 August,16 August,1 – 16 August,/editions/11,
51,1940 Summer Olympics,1940,,,—,/editions/51,Not held due to war
52,1944 Summer Olympics,1944,,,—,/editions/52,Not held due to war
12,1948 Summer Olympics,1948,29 July,14 August,26 July – 14 August,/editions/12,
13,1952 Summer Olympics,1952,19 July, 3 August,14 July –  3 August,/editions/13,
14,1956 Summer Olympics,1956,22 November, 8 December,22 November –  8 December,/editions/14,
15,1960 Summer Olympics,1960,25 August,11 September,25 August – 11 September,/editions/15,
16,1964 Summer Olympics,1964,10 October,24 October,11 – 24 October,/editions/16,
17,1968 Summer Olympics,1968,12 October,27 October,12 – 27 October,/editions/17,
18,1972 Summer Olympics,1972,26 August,11 September,26 August – 11 September,/editions/18,
19,1976 Summer Olympics,1976,17 July, 1 August,18 July –  1 August,/editions/19,
20,1980 Summer Olympics,1980,19 July, 3 August,20 July –  3 August,/editions/20,
21,1984 Summer Olympics,1984,28 July,12 August, 6 July – 12 August,/editions/21,
22,1988 Summer Olympics,1988,17 September, 2 October,17 September –  2 October,/editions/22,
23,1992 Summer Olympics,1992,25 July, 9 August,24 July –  9 August,/editions/23,
24,1996 Summer Olympics,1996,19 July, 4 August,20 July –  4 August,/editions/24,
25,2000 Summer Olympics,2000,15 September, 1 October,13 September –  1 October,/editions/25,
26,2004 Summer Olympics,2004,13 August,29 August,11 – 29 August,/editions/26,
53,2008 Summer Olympics,2008, 8 August,24 August,6 – 24 August,/editions/53,
54,2012 Summer Olympics,2012,27 July,12 August,25 July – 12 August,/editions/54,
59,2016 Summer Olympics,2016, 5 August,21 August,3 – 21 August,/editions/59,
61,2020 Summer Olympics,2020,23 July 2021, 8 August 2021,21 July –  8 August 2021,/editions/61,
63,2024 Summer Olympics,2024,,,—,/editions/63,
64,2028 Summer Olympics,2028,,,—,/editions/64,
372,2032 Summer Olympics,2032,,,—,/editions/372,
29,1924 Winter Olympics,1924,24 January, 5 February,26 January –  4 February,/editions/29,
30,1928 Winter Olympics,1928,11 February,17 February,11 – 19 February,/editions/30,
31,1932 Winter Olympics,1932, 4 February,13 February,4 – 15 February,/editions/31,
32,1936 Winter Olympics,1936, 6 February,16 February,6 – 16 February,/editions/32,
55,1940 Winter Olympics,1940,,,—,/editions/55,Not held due to war
56,1944 Winter Olympics,1944,,,—,/editions/56,Not held due to war
33,1948 Winter Olympics,1948,30 January, 8 February,30 January –  8 February,/editions/33,
34,1952 Winter Olympics,1952,15 February,25 February,14 – 25 February,/editions/34,
35,1956 Winter Olympics,1956,26 January, 5 February,26 January –  5 February,/editions/35,
36,1960 Winter Olympics,1960,18 February,28 February,19 – 28 February,/editions/36,
37,1964 Winter Olympics,1964,29 January, 9 February,27 January –  9 February,/editions/37,
38,1968 Winter Olympics,1968, 6 February,18 February,4 – 18 February,/editions/38,
39,1972 Winter Olympics,1972, 3 February,13 February,3 – 13 February,/editions/39,
40,1976 Winter Olympics,1976, 4 February,15 February,3 – 15 February,/editions/40,
41,1980 Winter Olympics,1980,13 February,24 February,12 – 24 February,/editions/41,
42,1984 Winter Olympics,1984, 8 February,19 February,7 – 19 February,/editions/42,
43,1988 Winter Olympics,1988,13 February,28 February,13 – 28 February,/editions/43,
44,1992 Winter Olympics,1992, 8 February,23 February,8 – 23 February,/editions/44,
45,1994 Winter Olympics,1994,12 February,27 February,12 – 27 February,/editions/45,
46,1998 Winter Olympics,1998, 7 February,22 February,7 – 22 February,/editions/46,
47,2002 Winter Olympics,2002, 8 February,24 February,9 – 24 February,/editions/47,
49,2006 Winter Olympics,2006,10 February,26 February,11 – 26 February,/editions/49,
57,2010 Winter Olympics,2010,12 February,28 February,12 – 28 February,/editions/57,
58,2014 Winter Olympics,2014, 7 February,23 February,6 – 23 February,/editions/58,
60,2018 Winter Olympics,2018, 9 February,25 February,8 – 25 February,/editions/60,
62,2022 Winter Olympics,2022, 4 February,20 February,2 – 20 February,/editions/62,
72,2026 Winter Olympics,2026, 6 February,22 February,4 – 22 February,/editions/72,
48,1956 Equestrian,1956,10 June,17 June,11 – 17 June,/editions/48,
4,1906 Intercalated,1906,22 April, 2 May,22 April –  2 May,/editions/4,
