id,sport
1418886894478270464,Artistic Gymnastics
1418885092571766792,Weightlifting
1418889378328465412,Tennis
1418889364155904004,Weightlifting
1418889363241328640,Artistic Gymnastics
1418889348871770123,Weightlifting
1418889345558360068,Hockey
1418889322833453057,Boxing
1418889247164141570,Hockey
1418889166583214090,Boxing
1418889117807652869,Swimming
1418889067580755976,Boxing
1418889016456400901,Swimming
1418889009674162176,Boxing
1418888986286694401,Boxing
1418888981421465604,Badminton
1418888976258068481,Weightlifting
1418888900613971977,Weightlifting
1418888885166293000,Athletics
1418888844485799939,Badminton
1418888826462871561,Boxing
1418888806816751625,Handball
1418888792161800196,Artistic Gymnastics
1418888745160433675,Judo
1418888744929832960,Table Tennis
1418888736859987974,Tennis
1418888698133848064,Beach Volleyball
1418888693662687232,Rugby
1418888691745918977,Football
1418888691582394369,Judo
1418888685492129792,Boxing
1418888671986606087,Boxing
1418888558010519552,Swimming
1418888530223407110,Swimming
1418888529355186190,Football
1418888522656718848,Shooting
1418888512980627461,Weightlifting
1418888481116278784,Boxing
1418888439299076096,Softball
1418888405413466115,Artistic Gymnastics
1418888396378869762,Swimming
1418888321233793028,Badminton
1418888254452113414,Badminton
1418888236416606211,Swimming
1418888187116724225,Boxing
1418888161233670153,Boxing
1418888138102087681,Judo
1418888116312559617,Artistic Gymnastics
1418888046322364418,Boxing
1418888021173161985,Weightlifting
1418888020237893643,Boxing
1418887940751585281,Football
1418887887949606915,Artistic Gymnastics
1418887862699888646,Table Tennis
1418887862288850944,Judo
1418887835566936064,Boxing
1418887831825514496,Cycling Road
1418887831817097217,Boxing
1418887746391838726,Table Tennis
1418887739454357504,Judo
1418887726854778888,Boxing
1418887702074826759,Boxing
1418887667048124424,Weightlifting
1418887645061582848,Tennis
1418887567584468997,Judo
1418887561980694530,Boxing
1418887555664150529,Boxing
1418887514841100296,Boxing
1418887507018756102,Boxing
1418887455453876228,Swimming
1418887416065118208,Boxing
1418887397538889728,Boxing
1418887376508698624,Table Tennis
1418887376030552069,Weightlifting
1418887374126391307,Swimming
1418887367100747776,Boxing
1418887358364078080,Boxing
1418887316924403715,Boxing
1418887315410362371,Judo
1418887311660666885,Volleyball
1418887293797113860,Judo
1418887263929479179,Boxing
1418887211743776768,Boxing
1418887211496378371,Boxing
1418887163597492224,Swimming
1418887133448884224,Weightlifting
1418887127673278465,Shooting
1418887049067827201,Swimming
1418887029371273217,Boxing
1418886983007576065,Swimming
1418886954003963904,Handball
1418886946479382529,Boxing
1418886944684232710,Swimming
1418886932604407810,Boxing
1418886927344930820,Swimming
1418886926552141825,Boxing
1418886926514405380,Weightlifting
1418886896227397632,Boxing
1418886889268912128,Boxing
1418886845488934918,Swimming
1418886808209969166,Hockey
1418886800710377472,Judo
1418886757622419460,Boxing
1418886746520031238,Table Tennis
1418886713062133763,Hockey
1418886679922872325,Swimming
1418886585605558280,Hockey
1418886513904037893,Boxing
1418886475362365440,Boxing
