athlete_id,country_noc
65649,BUL
112510,RUS
114973,QAT
30359,HUN
50557,TCH
146111,ROC
133041,CAN
110425,SUI
110705,RUS
54541,NED
22721,ITA
56266,KOR
82227,GDR
93334,CAN
146013,POR
109912,RUS
37019,FRA
22885,LUX
95497,JPN
76,GBR
47023,GBR
42069,FRA
39033,NED
115157,RUS
207,HUN
99106,USA
126257,NZL
102554,KOR
24775,EGY
69614,GBR
52387,FRG
100169,ISR
142869,FRA
63052,IRL
901207,DEN
136267,USA
1005805,LUX
95761,FRA
62527,CAN
112346,CMR
87546,TCH
96506,FRA
42673,GRE
8923,ZAM
64560,AUS
115463,USA
125355,TLS
137459,JPN
58561,HUN
2821,IOA
77525,URS
15193,SUI
127330,AUT
37731,GDR
921248,POL
90206,AZE
15431,GBR
27348,TCH
143922,IRL
22293,GER
107995,DEN
5826,ITA
52224,CUB
900574,ROU
123509,CUB
51436,USA
115100,FRA
62061,USA
4192,ITA
120977,BLR
83030,GDR
36727,ESP
126680,USA
100055,ARM
64040,AUS
143772,IND
11811,CAN
33841,TPE
27726,USA
47153,GBR
50971,USA
87230,FIN
58648,HUN
61509,GER
116435,USA
64598,AUS
116395,RUS
143132,GBR
143437,GER
73108,LBA
90687,FRA
132552,AUS
115030,MKD
32390,KOR
42368,GBR
21756,GBR
27727,USA
53599,CAN
144390,JPN
37094,FRA
2101890,INA
46191,COL
143017,GBR
81801,TCH
105216,HUN
113015,COL
59925,SUI
130532,INA
60266,TUR
50132,SUI
102257,LAT
81155,SWE
39398,POL
43723,POL
52205,CUB
18552,ESP
114192,GER
75623,SLE
890591,FRA
42928,ITA
57070,AFG
27289,SWE
137385,ITA
890923,FRA
73729,NED
114581,TUV
128219,NOR
44842,YUG
95683,URS
36434,CUB
89319,AUS
120355,RUS
8035,SAM
144395,JPN
20280,UGA
127029,UKR
38848,NED
122484,URU
85952,SUI
67789,FIN
75071,PUR
75201,ROU
31241,URS
118569,BLR
10960,URS
18137,SWE
78163,USA
107124,GRE
46197,CRC
104739,USA
53758,ESP
104899,KUW
58502,GRE
55436,COL
137954,COR
46746,FRA
30348,HUN
87249,USA
1005028,PRK
148358,GBR
43012,ITA
38992,NED
65572,BRA
123645,BRA
127417,BUL
67744,FIN
106094,USA
130683,ITA
75276,RSA
104565,BUL
83190,SWE
81827,EST
922970,SWE
12412,GUA
52971,RUS
117751,GBR
145790,NZL
59247,LAT
22601,ITA
144474,JPN
892635,USA
16165,TCH
33863,COD
96377,EUN
55376,CHN
58498,GRE
83413,CHN
18282,USA
103827,POL
37422,GBR
49143,MEX
108718,KOR
146658,SUI
34476,MGL
901110,CAN
900653,SWE
91954,NOR
31383,USA
52980,RUS
113247,ESP
48177,HUN
113886,GER
18278,USA
144187,ITA
93651,MGL
72037,ITA
40257,EUN
86813,ESP
74609,POL
88783,SUI
71332,HUN
65610,BRA
129060,AUS
144103,ITA
118215,UKR
95899,CAN
140770,AUS
37275,GBR
54151,HUN
131160,NED
106434,ALG
43435,NED
27887,YUG
136598,ANG
89975,NGR
21862,FRA
144405,JPN
1657,CUB
143906,IRL
2101505,CHN
92449,USA
83695,NZL
53349,YUG
21557,DEN
109932,CAN
120618,FIN
80532,USA
45531,BEL
26514,MEX
141119,BRA
56198,JPN
3202,TPE
28362,FRA
109185,GER
13702,AUS
923105,SWE
69727,GDR
132635,BAH
12453,AUT
46862,FRA
112946,AZE
17847,FRA
59268,LBN
76428,SWE
121603,JAM
113916,NED
39666,RUS
921359,SWE
74203,NOR
23697,USA
24425,CHN
125731,GER
137139,FIN
148101,CHN
94946,ITA
54804,UKR
128521,SUI
24223,BRA
64812,AUS
61115,URS
148490,ITA
114271,CHN
26280,KSA
56593,ROU
77387,URS
66713,CUB
8059,SLE
29782,FIN
89778,CAN
36693,ESP
115059,GHA
60323,TUR
106574,ETH
68188,FRA
78441,USA
5756,HUN
5514,AUS
63936,PUR
78886,USA
111838,BRA
110145,CAN
95310,USA
105229,CAN
128620,SWE
118273,BRA
146814,THA
138055,SUI
52558,JPN
35839,BRA
2300507,ITA
27257,SWE
78636,USA
42687,GRE
116290,ESP
10940,URS
129679,CHN
85918,AUT
133500,DEN
123972,CAN
83470,CUB
146970,TUR
65301,BEL
99415,JPN
27780,USA
75784,SUI
27784,USA
61171,AUS
50163,SUI
64515,AUS
132602,AUT
92194,HUN
9224,CAN
126845,KAZ
43444,NED
13656,BEL
91408,EGY
25072,FRA
63246,FRA
18791,GBR
119757,KOR
32282,ISL
76977,TUN
106728,COL
2063,POL
921669,RUS
59182,KOR
83443,CMR
100463,USA
34243,CUB
127581,CRO
47749,GDR
31980,CUB
64406,ARG
96636,ITA
55999,INA
101508,GER
2305333,IND
93524,INA
2302088,BEL
131659,SEN
135697,RSA
111018,FRA
120604,FIN
13074,USA
44998,AUS
9187,BUL
15658,FRA
12837,ROU
112417,USA
120097,CAN
128592,SWE
103280,USA
148162,CZE
70941,GUM
4999,ARG
145300,MEX
107731,CAN
56762,SYR
103561,JPN
30376,HUN
116088,KOR
64567,AUS
29823,FIN
57946,FIN
920461,GBR
69109,GBR
120646,FIN
1006225,ZIM
78226,USA
128266,POL
32221,HUN
147206,USA
35087,SWE
85778,AND
4470,LUX
123516,CUB
110054,FIN
126486,KAZ
24906,ESP
4021,IRL
38752,MEX
21100,ARG
96923,FRG
3829,HUN
70416,GER
105454,ETH
147656,BOL
23826,VEN
15591,IRL
80354,FRA
145100,LAT
17275,POL
71523,IRL
9269,CAN
75124,ROU
15659,POL
135161,MEX
77786,USA
17209,AUS
103171,SMR
45457,BEL
2505506,MDA
19233,IND
91546,ROU
66746,CUB
63991,BEL
101351,FRA
62472,GBR
92267,CMR
32,FRA
13120,NED
39439,POR
11671,FRA
134742,JPN
2304840,GER
890508,FRA
11892,TCH
47080,GBR
107854,GBR
36555,DEN
76118,SWE
920674,GER
48380,ISV
78047,USA
98216,NOR
52601,KOR
104464,GBR
901461,FRA
17072,BEL
123580,ITA
32751,TCH
95236,JPN
6473,USA
148109,CHN
76808,THA
920567,GBR
63896,FRA
85686,BEL
122962,GBR
29258,USA
92644,NED
37290,GBR
38062,GRE
90094,USA
145781,NZL
113448,AUS
47877,GER
68835,GBR
104121,MAD
920888,ITA
15530,PER
33881,USA
900214,FRA
145207,MAW
34567,POL
47854,FRG
132237,VIN
84486,TCH
77574,URS
29874,FRA
78256,USA
107332,ESP
48645,JPN
80904,NOR
93214,CAN
26891,PER
5998,SEN
106985,BRA
97097,SWE
1005258,YUG
131594,ROC
6437,URU
79181,USA
122127,POL
31340,USA
17735,BEL
20351,USA
16456,LTU
901809,KOR
39671,SAA
14231,URU
144736,JPN
126693,USA
922865,AUT
89203,SCG
93807,TPE
135621,QAT
2302098,BRA
104651,IRI
47448,GBR
39507,ROU
62783,SWE
92675,ROU
143722,IND
94775,THA
94546,ITA
101028,SUI
55800,GER
127848,GER
133427,CZE
702046,GBR
121154,UGA
80593,GBR
7778,POL
64302,ALG
65462,BOT
115783,BEL
20709,FRG
44231,SWE
35591,AUT
43312,MEX
701537,BEL
61801,NED
147948,CAN
40916,USA
