id_result,medal
21,Bronze
31,Silver
33,Gold
34,Gold
35,Gold
36,Gold
37,Gold
38,Gold
39,Gold
40,Gold
41,Gold
42,Gold
43,Gold
44,Gold
45,Gold
46,Gold
47,Gold
48,Gold
49,Gold
50,Gold
51,Gold
52,Gold
53,Gold
54,Gold
55,Gold
56,Gold
57,Gold
58,Gold
59,Gold
60,Gold
61,Gold
62,Gold
63,Gold
71,Silver
76,Bronze
109,Silver
114,Bronze
120,Bronze
123,Gold
124,Gold
125,Gold
126,Gold
129,Gold
130,Silver
131,Bronze
140,Silver
147,Bronze
149,Bronze
150,Bronze
185,Bronze
193,Bronze
194,Bronze
195,Bronze
196,Bronze
197,Bronze
801,Gold
836,Silver
839,Gold
853,Silver
1197,Bronze
1816,Bronze
1822,Bronze
1862,Silver
1878,Bronze
1888,Gold
1898,Gold
1914,Bronze
1915,Bronze
1928,Bronze
1929,Bronze
1940,Gold
1951,Bronze
1954,Gold
1957,Bronze
1976,Silver
1987,Bronze
1989,Bronze
2012,Bronze
2013,Bronze
2044,Silver
2046,Bronze
2049,Gold
2052,Gold
2053,Bronze
2055,Silver
2056,Bronze
2083,Silver
2085,Bronze
2091,Silver
2092,Bronze
2101,Silver
2103,Silver
2112,Bronze
2113,Gold
2114,Bronze
2118,Bronze
2121,Bronze
2122,Bronze
2123,Silver
2124,Bronze
2125,Bronze
2126,Silver
2128,Silver
2129,Bronze
2150,Bronze
2162,Bronze
2164,Silver
2165,Silver
2180,Bronze
2182,Silver
2185,Bronze
2221,Gold
2227,Silver
2251,Bronze
2312,Bronze
2321,Bronze
2323,Silver
2326,Bronze
2331,Bronze
2367,Silver
2368,Bronze
2402,Silver
2403,Silver
2407,Silver
2410,Gold
2419,Bronze
2423,Bronze
2430,Silver
2435,Silver
2449,Gold
2481,Silver
2594,Silver
2614,Bronze
2615,Bronze
2616,Bronze
2617,Bronze
2618,Bronze
2886,Bronze
3268,Bronze
3389,Gold
3696,Bronze
3697,Bronze
3772,Gold
3778,Bronze
3813,Gold
3823,Gold
3825,Bronze
3861,Bronze
3866,Silver
3877,Bronze
3878,Gold
3887,Bronze
4016,Silver
4019,Bronze
4051,Gold
4100,Silver
4103,Silver
4501,Silver
4578,Bronze
4692,Gold
4693,Gold
4694,Gold
4695,Gold
4696,Gold
4697,Gold
4698,Gold
4699,Gold
4700,Gold
4701,Gold
4702,Gold
4703,Gold
4704,Gold
4705,Gold
4706,Gold
4707,Gold
4708,Gold
4709,Gold
4710,Gold
4726,Gold
4741,Gold
4807,Bronze
4973,Silver
5037,Silver
5042,Bronze
5063,Bronze
5069,Bronze
5076,Bronze
5140,Silver
5141,Bronze
5164,Bronze
5168,Silver
5215,Gold
5216,Bronze
5217,Bronze
5218,Bronze
5219,Bronze
5220,Bronze
5221,Bronze
