noc,id_result,edition_country
ESP,318409,44
RUS,318410,45
NOR,318411,45
GER,318412,45
ITA,318413,45
USA,318414,45
KOR,318415,45
CAN,318416,45
SUI,318417,45
AUT,318418,45
SWE,318419,45
JPN,318420,45
KAZ,318421,45
UKR,318422,45
UZB,318423,45
BLR,318424,45
FIN,318425,45
FRA,318426,45
NED,318427,45
CHN,318428,45
SLO,318429,45
GBR,318430,45
AUS,318431,45
GER,318432,46
NOR,318433,46
RUS,318434,46
CAN,318435,46
USA,318436,46
NED,318437,46
JPN,318438,46
AUT,318439,46
KOR,318440,46
ITA,318441,46
FIN,318442,46
SUI,318443,46
FRA,318444,46
CZE,318445,46
BUL,318446,46
CHN,318447,46
SWE,318448,46
DEN,318449,46
UKR,318450,46
BLR,318451,46
KAZ,318452,46
AUS,318453,46
BEL,318454,46
GBR,318455,46
NOR,318456,47
GER,318457,47
USA,318458,47
CAN,318459,47
RUS,318460,47
FRA,318461,47
ITA,318462,47
FIN,318463,47
NED,318464,47
AUT,318465,47
SUI,318466,47
CRO,318467,47
CHN,318468,47
KOR,318469,47
AUS,318470,47
CZE,318471,47
EST,318472,47
GBR,318473,47
SWE,318474,47
BUL,318475,47
JPN,318476,47
POL,318477,47
BLR,318478,47
SLO,318479,47
GER,318480,49
USA,318481,49
AUT,318482,49
RUS,318483,49
CAN,318484,49
SWE,318485,49
KOR,318486,49
SUI,318487,49
ITA,318488,49
FRA,318489,49
NED,318490,49
EST,318491,49
NOR,318492,49
CHN,318493,49
CZE,318494,49
CRO,318495,49
AUS,318496,49
JPN,318497,49
FIN,318498,49
POL,318499,49
BLR,318500,49
BUL,318501,49
GBR,318502,49
SVK,318503,49
UKR,318504,49
LAT,318505,49
CAN,318506,57
GER,318507,57
USA,318508,57
NOR,318509,57
KOR,318510,57
SUI,318511,57
CHN,318512,57
SWE,318513,57
AUT,318514,57
NED,318515,57
RUS,318516,57
FRA,318517,57
AUS,318518,57
CZE,318519,57
POL,318520,57
ITA,318521,57
BLR,318522,57
SVK,318523,57
GBR,318524,57
JPN,318525,57
CRO,318526,57
SLO,318527,57
LAT,318528,57
FIN,318529,57
EST,318530,57
KAZ,318531,57
NOR,318532,58
RUS,318533,58
CAN,318534,58
USA,318535,58
NED,318536,58
GER,318537,58
SUI,318538,58
BLR,318539,58
AUT,318540,58
FRA,318541,58
POL,318542,58
CHN,318543,58
KOR,318544,58
SWE,318545,58
CZE,318546,58
SLO,318547,58
JPN,318548,58
FIN,318549,58
GBR,318550,58
LAT,318551,58
UKR,318552,58
SVK,318553,58
ITA,318554,58
AUS,318555,58
CRO,318556,58
KAZ,318557,58
NOR,318558,60
GER,318559,60
CAN,318560,60
USA,318561,60
NED,318562,60
SWE,318563,60
KOR,318564,60
SUI,318565,60
FRA,318566,60
AUT,318567,60
JPN,318568,60
ITA,318569,60
ROC,318570,60
CZE,318571,60
BLR,318572,60
CHN,318573,60
SVK,318574,60
FIN,318575,60
GBR,318576,60
POL,318577,60
HUN,318578,60
UKR,318579,60
AUS,318580,60
SLO,318581,60
BEL,318582,60
NZL,318583,60
ESP,318584,60
KAZ,318585,60
LAT,318586,60
LIE,318587,60
NOR,318588,62
GER,318589,62
CHN,318590,62
USA,318591,62
SWE,318592,62
NED,318593,62
AUT,318594,62
SUI,318595,62
ROC,318596,62
FRA,318597,62
CAN,318598,62
JPN,318599,62
ITA,318600,62
KOR,318601,62
SLO,318602,62
FIN,318603,62
NZL,318604,62
AUS,318605,62
GBR,318606,62
HUN,318607,62
BEL,318608,62
CZE,318609,62
SVK,318610,62
BLR,318611,62
ESP,318612,62
UKR,318613,62
EST,318614,62
LAT,318615,62
POL,318616,62
SWE,318617,48
GER,318618,48
GBR,318619,48
ITA,318620,48
DEN,318621,48
CAN,318622,48
SUI,318623,48
FRA,318624,4
USA,318625,4
GRE,318626,4
GBR,318627,4
ITA,318628,4
GER,318629,4
SUI,318630,4
AUT,318631,4
DEN,318632,4
SWE,318633,4
HUN,318634,4
BEL,318635,4
FIN,318636,4
CAN,318637,4
NOR,318638,4
NED,318639,4
AUS,318640,4
BOH,318641,4
