noc,id_result,edition_country
NAM,317570,23
RSA,317571,23
BEL,317572,23
CRO,317573,23
IOA,317574,23
IRI,317575,23
ISR,317576,23
TPE,317577,23
MEX,317578,23
PER,317579,23
MGL,317580,23
SLO,317581,23
ARG,317582,23
COL,317583,23
GHA,317584,23
MAS,317585,23
PAK,317586,23
PHI,317587,23
PUR,317588,23
QAT,317589,23
SUR,317590,23
THA,317591,23
BAH,317592,23
USA,317593,24
RUS,317594,24
GER,317595,24
CHN,317596,24
FRA,317597,24
ITA,317598,24
AUS,317599,24
CUB,317600,24
UKR,317601,24
KOR,317602,24
POL,317603,24
HUN,317604,24
ESP,317605,24
ROU,317606,24
NED,317607,24
GRE,317608,24
CZE,317609,24
SUI,317610,24
DEN,317611,24
TUR,317612,24
CAN,317613,24
BUL,317614,24
JPN,317615,24
KAZ,317616,24
BRA,317617,24
NZL,317618,24
RSA,317619,24
IRL,317620,24
SWE,317621,24
NOR,317622,24
BEL,317623,24
NGR,317624,24
PRK,317625,24
ALG,317626,24
ETH,317627,24
GBR,317628,24
BLR,317629,24
KEN,317630,24
JAM,317631,24
FIN,317632,24
INA,317633,24
SCG,317634,24
IRI,317635,24
SVK,317636,24
ARM,317637,24
CRO,317638,24
POR,317639,24
THA,317640,24
BDI,317641,24
CRC,317642,24
ECU,317643,24
HKG,317644,24
SYR,317645,24
ARG,317646,24
NAM,317647,24
SLO,317648,24
AUT,317649,24
MAS,317650,24
MDA,317651,24
UZB,317652,24
AZE,317653,24
TPE,317654,24
LAT,317655,24
PHI,317656,24
BAH,317657,24
TGA,317658,24
ZAM,317659,24
GEO,317660,24
MAR,317661,24
TTO,317662,24
IND,317663,24
ISR,317664,24
LTU,317665,24
MEX,317666,24
MGL,317667,24
MOZ,317668,24
PUR,317669,24
TUN,317670,24
UGA,317671,24
USA,317672,25
RUS,317673,25
CHN,317674,25
AUS,317675,25
GER,317676,25
FRA,317677,25
ITA,317678,25
NED,317679,25
CUB,317680,25
GBR,317681,25
ROU,317682,25
KOR,317683,25
HUN,317684,25
POL,317685,25
JPN,317686,25
BUL,317687,25
GRE,317688,25
SWE,317689,25
NOR,317690,25
ETH,317691,25
UKR,317692,25
KAZ,317693,25
BLR,317694,25
CAN,317695,25
ESP,317696,25
TUR,317697,25
IRI,317698,25
CZE,317699,25
KEN,317700,25
DEN,317701,25
FIN,317702,25
AUT,317703,25
LTU,317704,25
AZE,317705,25
BAH,317706,25
SLO,317707,25
SUI,317708,25
INA,317709,25
SVK,317710,25
MEX,317711,25
NGR,317712,25
ALG,317713,25
UZB,317714,25
LAT,317715,25
SCG,317716,25
NZL,317717,25
EST,317718,25
THA,317719,25
CRO,317720,25
CMR,317721,25
COL,317722,25
MOZ,317723,25
BRA,317724,25
JAM,317725,25
BEL,317726,25
RSA,317727,25
ARG,317728,25
TPE,317729,25
MAR,317730,25
PRK,317731,25
KSA,317732,25
MDA,317733,25
TTO,317734,25
IRL,317735,25
SRI,317736,25
URU,317737,25
VIE,317738,25
GEO,317739,25
CRC,317740,25
POR,317741,25
ARM,317742,25
BAR,317743,25
CHI,317744,25
ISL,317745,25
IND,317746,25
ISR,317747,25
KUW,317748,25
KGZ,317749,25
MKD,317750,25
QAT,317751,25
USA,317752,26
CHN,317753,26
RUS,317754,26
AUS,317755,26
JPN,317756,26
GER,317757,26
FRA,317758,26
ITA,317759,26
KOR,317760,26
GBR,317761,26
CUB,317762,26
HUN,317763,26
UKR,317764,26
ROU,317765,26
GRE,317766,26
BRA,317767,26
NOR,317768,26
NED,317769,26
SWE,317770,26
ESP,317771,26
CAN,317772,26
TUR,317773,26
POL,317774,26
NZL,317775,26
THA,317776,26
BLR,317777,26
AUT,317778,26
ETH,317779,26
IRI,317780,26
SVK,317781,26
TPE,317782,26
GEO,317783,26
BUL,317784,26
DEN,317785,26
JAM,317786,26
UZB,317787,26
MAR,317788,26
ARG,317789,26
CHI,317790,26
KAZ,317791,26
KEN,317792,26
CZE,317793,26
RSA,317794,26
CRO,317795,26
LTU,317796,26
EGY,317797,26
SUI,317798,26
INA,317799,26
ZIM,317800,26
AZE,317801,26
BEL,317802,26
ISR,317803,26
BAH,317804,26
CMR,317805,26
DOM,317806,26
UAE,317807,26
PRK,317808,26
LAT,317809,26
MEX,317810,26
POR,317811,26
FIN,317812,26
SCG,317813,26
SLO,317814,26
EST,317815,26
HKG,317816,26
IND,317817,26
PAR,317818,26
COL,317819,26
NGR,317820,26
VEN,317821,26
ERI,317822,26
MGL,317823,26
SYR,317824,26
TTO,317825,26
CHN,317826,53
USA,317827,53
RUS,317828,53
GBR,317829,53
GER,317830,53
AUS,317831,53
KOR,317832,53
JPN,317833,53
ITA,317834,53
FRA,317835,53
NED,317836,53
UKR,317837,53
KEN,317838,53
ESP,317839,53
JAM,317840,53
POL,317841,53
ETH,317842,53
ROU,317843,53
CUB,317844,53
CAN,317845,53
HUN,317846,53
NOR,317847,53
BRA,317848,53
BLR,317849,53
CZE,317850,53
SVK,317851,53
NZL,317852,53
GEO,317853,53
KAZ,317854,53
DEN,317855,53
PRK,317856,53
THA,317857,53
MGL,317858,53
SUI,317859,53
ARG,317860,53
MEX,317861,53
BEL,317862,53
ZIM,317863,53
SLO,317864,53
AZE,317865,53
INA,317866,53
BUL,317867,53
TUR,317868,53
TPE,317869,53
FIN,317870,53
LAT,317871,53
DOM,317872,53
EST,317873,53
POR,317874,53
TTO,317875,53
IND,317876,53
IRI,317877,53
CMR,317878,53
PAN,317879,53
TUN,317880,53
SWE,317881,53
LTU,317882,53
NGR,317883,53
CRO,317884,53
COL,317885,53
GRE,317886,53
ARM,317887,53
UZB,317888,53
AUT,317889,53
IRL,317890,53
KGZ,317891,53
SRB,317892,53
ALG,317893,53
MAR,317894,53
TJK,317895,53
BAH,317896,53
CHI,317897,53
ECU,317898,53
ISL,317899,53
MAS,317900,53
SAM,317901,53
SGP,317902,53
RSA,317903,53
SUD,317904,53
VIE,317905,53
EGY,317906,53
AFG,317907,53
ISR,317908,53
MRI,317909,53
MDA,317910,53
TOG,317911,53
VEN,317912,53
USA,317913,54
CHN,317914,54
GBR,317915,54
RUS,317916,54
KOR,317917,54
GER,317918,54
FRA,317919,54
AUS,317920,54
ITA,317921,54
HUN,317922,54
JPN,317923,54
IRI,317924,54
NED,317925,54
NZL,317926,54
UKR,317927,54
CUB,317928,54
ESP,317929,54
JAM,317930,54
CZE,317931,54
RSA,317932,54
PRK,317933,54
BRA,317934,54
POL,317935,54
ETH,317936,54
KAZ,317937,54
CRO,317938,54
CAN,317939,54
BLR,317940,54
KEN,317941,54
DEN,317942,54
ROU,317943,54
AZE,317944,54
SUI,317945,54
NOR,317946,54
LTU,317947,54
TUN,317948,54
SWE,317949,54
COL,317950,54
MEX,317951,54
GEO,317952,54
IRL,317953,54
ARG,317954,54
SRB,317955,54
SLO,317956,54
TTO,317957,54
TUR,317958,54
DOM,317959,54
TPE,317960,54
LAT,317961,54
ALG,317962,54
BRN,317963,54
GRN,317964,54
BAH,317965,54
UGA,317966,54
VEN,317967,54
EGY,317968,54
IND,317969,54
MGL,317970,54
THA,317971,54
BUL,317972,54
FIN,317973,54
INA,317974,54
SVK,317975,54
BEL,317976,54
ARM,317977,54
EST,317978,54
MAS,317979,54
PUR,317980,54
QAT,317981,54
BOT,317982,54
CYP,317983,54
GAB,317984,54
GUA,317985,54
MNE,317986,54
POR,317987,54
UZB,317988,54
GRE,317989,54
SGP,317990,54
AFG,317991,54
CMR,317992,54
HKG,317993,54
KSA,317994,54
KUW,317995,54
MAR,317996,54
TJK,317997,54
VIE,317998,54
USA,317999,59
GBR,318000,59
CHN,318001,59
RUS,318002,59
GER,318003,59
JPN,318004,59
FRA,318005,59
KOR,318006,59
ITA,318007,59
AUS,318008,59
NED,318009,59
HUN,318010,59
BRA,318011,59
ESP,318012,59
KEN,318013,59
JAM,318014,59
CRO,318015,59
CUB,318016,59
NZL,318017,59
CAN,318018,59
UZB,318019,59
COL,318020,59
SUI,318021,59
IRI,318022,59
GRE,318023,59
ARG,318024,59
DEN,318025,59
SWE,318026,59
RSA,318027,59
KAZ,318028,59
UKR,318029,59
SRB,318030,59
POL,318031,59
PRK,318032,59
BEL,318033,59
THA,318034,59
SVK,318035,59
