sport,discipline,nb_editions
Athletics,5 miles,3
Athletics,"3,200 metres Steeplechase",1
Athletics,"3,500 metres Race Walk",1
Athletics,10 miles Race Walk,1
Athletics,Standing High Jump,5
Athletics,Standing Long Jump,5
Athletics,10 kilometres Race Walk,7
Athletics,Standing Triple Jump,2
Athletics,Pentathlon,8
Athletics,80 metres Hurdles,8
Athletics,"3,000 metres Race Walk",1
Athletics,6-hour race,1
Athletics,"2,500 metres Steeplechase",1
Athletics,"1,500 metres Wheelchair",6
Athletics,800 metres Wheelchair,6
Athletics,60 metres,2
Athletics,200 metres Hurdles,2
Athletics,100 yards,1
Athletics,120 yards Hurdles,1
Athletics,1 mile,1
Athletics,2 miles,1
Athletics,56-pound Weight Throw,2
Athletics,220 yards,1
Athletics,440 yards,1
Athletics,880 yards,1
Athletics,"1,600 metres Medley Relay",1
Athletics,"4,000 metres Steeplechase",1
Athletics,3 miles,1
Athletics,"2,590 metres Steeplechase",1
Athletics,Stone Throw,1
Athletics,All-Around Championship,1
Athletics,Special Scratch Pole Vault #1,1
Athletics,Special Scratch Pole Vault #2,1
Athletics,50 yards,1
Athletics,220 yards Hurdles,1
Athletics,4 × 440 yards Relay,1
Athletics,4 miles,1
Athletics,Baseball Throw,1
Athletics,Ball Throw for Accuracy,1
Athletics,60 yards,1
Diving,Synchronized Platform,6
Diving,Synchronized Springboard,6
Diving,Plain High,3
Rugby,Rugby,4
Shooting,Air Pistol,9
Shooting,Military Rifle,5
Shooting,Unknown Event,2
Shooting,Double Trap,6
Shooting,Dueling Pistol,1
Shooting,Military Pistol,2
Shooting,Smal-Bore Rifle,1
Shooting,Muzzle-Loading Pistol,1
Swimming,400 metres Breaststroke,2
Swimming,50 metres Freestyle,9
Swimming,"1,000 metres Freestyle",1
Swimming,"4,000 metres Freestyle",1
Swimming,500 metres Freestyle,1
Swimming,"1,200 metres Freestyle",1
Swimming,Underwater Swimming,1
Swimming,200 metres Obstacle Course,1
Swimming,100 metres Freestyle For Sailors,1
Swimming,100 yards,1
Swimming,1 mile,1
Swimming,300 metres Freestyle,1
Swimming,220 yards,1
Swimming,440 yards,1
Swimming,880 yards,1
Swimming,50 yards Freestyle,1
